,iOS,iOS_pi_lower,iOS_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,web,web_pi_lower,web_pi_upper,Total,Total_pi_lower,Total_pi_upper
2019-01-06,477973.14859251556,426687.0502488104,529259.2469362208,163409.5981058623,139461.26519433397,187357.93101739063,200347.98442699434,165201.61045728723,235494.35839670146,733435.4276686768,528967.5882572423,937903.2670801113,1575166.1587940492,1260317.5141576738,1890014.803430424
2019-01-13,454976.3576242115,399609.57991204463,510343.1353363784,168579.26613288934,136711.67753169785,200446.85473408084,183520.19835332996,142444.28369781913,224596.1130088408,783991.5809839598,562286.247348848,1005696.9146190716,1591067.4030943906,1241051.7884904095,1941083.0176983718
2019-01-20,432322.8912785393,373155.7384812706,491490.044075808,173420.25381435623,135241.08860173333,211599.41902697913,170158.64268307763,123906.59651360523,216410.68885255005,696872.0301002874,459173.224059577,934570.8361409978,1472773.8178762605,1091476.647656186,1854070.988096335
2019-01-27,404261.3675283014,341523.2735772766,466999.4614793261,174307.60739576072,130720.48408619183,217894.7307053296,167289.36837878462,116384.36797203796,218194.3687855313,649272.6725268201,396588.23159721075,901957.1134564294,1395131.015829667,985216.3572327172,1805045.6744266164
2019-02-03,414743.4814052801,348626.7622642425,480860.20054631773,175969.91960518662,127574.59407798608,224365.24513238715,171323.84884340575,116156.61776514769,226491.0799216638,753224.7823633912,486392.8147391723,1020056.7499876102,1515262.0322172637,1078750.7888465486,1951773.2755879788
2019-02-10,405803.4076543453,336472.30934839504,475134.5059602956,180455.97723536417,127688.01653930788,233223.93793142046,179114.10659317233,119990.86813424458,238237.34505210008,751736.6974229356,471468.47928013076,1032004.9155657405,1517110.1889058175,1055619.6733020782,1978600.7045095568
2019-02-17,406100.43087610765,333697.36011739983,478503.5016348155,181288.4080440639,124482.72033369847,238094.09575442932,182043.54836230417,119212.70429923377,244874.39242537456,735968.4492651466,442877.52360325016,1029059.3749270431,1505400.8365476225,1020270.3083535822,1990531.3647416625
2019-02-24,399769.41593947646,324419.39022468677,475119.44165426615,171519.9012741979,110944.3995135675,232095.4030348283,183485.94709880024,117154.2686566446,249817.62554095587,685645.0691167179,380267.7766863377,991022.361547098,1440420.3334291924,932785.8350812367,1948054.8317771484
2019-03-03,437184.52956339123,358998.45215198514,515370.6069747973,174286.8363874306,110162.17717698796,238411.49559787326,192739.82289640323,123082.92566367674,262396.7201291297,754601.7533852234,437412.1895854346,1071791.3171850122,1558812.9422324486,1029655.7445780844,2087970.1398868123
2019-03-10,413289.21001847554,332366.3411148782,494212.0789220729,169454.7553402842,101966.78475734124,236942.72592322715,186921.53896731546,114091.0011847342,259752.07674989672,824237.7810352687,495658.9854442961,1152816.5766262412,1593903.285361344,1044083.1125012496,2143723.458221438
2019-03-17,433996.1848257609,350426.04619848024,517566.32345304155,173074.89378294605,102382.93732271987,243766.85024317223,180240.42610679072,104368.81848572844,256112.033727853,798226.9702037462,458639.4874383571,1137814.4529691353,1585538.4749192437,1015817.2894452857,2155259.6603932017
2019-03-24,436896.32531157165,350760.1952194936,523032.4554036497,171769.25457906598,98011.88150161074,245526.62765652122,187923.87626629227,109128.4308488067,266719.32168377785,836502.3109203078,486250.8671627401,1186753.7546778754,1633091.7670772378,1044151.3747326512,2222032.1594218244
2019-03-31,427600.4436492966,338972.5489032741,516228.33839531906,172539.21409632845,95838.38693369104,249240.04125896585,177075.48214016878,95460.84002793301,258690.12425240455,799582.1595731652,438980.95665571274,1160183.3624906177,1576797.2994589591,969252.732520611,2184341.8663973073
2019-04-07,440105.96456799575,349054.44435406866,531157.4847819229,172476.6885685226,92940.83666944563,252012.54046759958,191878.4964533824,107538.81204483284,276218.18086193193,844345.2129413178,473682.1875734043,1215008.2383092314,1648806.3625312187,1023216.2806417514,2274396.444420686
2019-04-14,439541.3242008117,346129.018970359,532953.6294312644,174133.1256859044,91859.47694536888,256406.77442643995,195519.35237496253,108539.93583550514,282498.7689144199,793510.6619659734,413050.9564985353,1173970.3674334115,1602704.4642276522,959579.3882497684,2245829.5402055355
2019-04-21,474062.2504298248,378347.3546877543,569777.1461718953,182033.460670434,97109.84688832451,266957.0744525435,213688.64695042424,124147.26758827709,303230.02631257137,804908.4531665932,414897.2761726124,1194919.630160574,1674692.8112172764,1014501.7453369682,2334883.8770975843
2019-04-28,467815.8410102635,369852.44878658734,565779.2332339396,179878.76920369707,92385.04864635681,267372.48976103734,219485.43205444716,127453.3676447417,311517.4964641526,685624.4333083249,286289.4413370292,1084959.4252796206,1552804.4755767325,875980.306414715,2229628.64473875
2019-05-05,441882.01435606566,341720.57903530897,542043.4496768224,175945.82544142698,85955.02103417546,265936.6298486785,209948.82602249787,115491.71841869008,304405.93362630566,725662.3433375094,317215.64220955153,1134109.0444654673,1553439.0091574998,860382.9606977261,2246495.057617274
2019-05-12,432974.49431979225,330662.2193795214,535286.7692600631,179024.7341526098,86603.95646064648,271445.51184457314,209271.62909929105,112450.18982580726,306093.06837277487,730971.3090478327,313611.14943462133,1148331.4686610443,1552242.1666195258,843327.5151005965,2261156.818138455
2019-05-19,459851.16230223246,355432.33576165524,564269.9888428097,191988.40349644318,97199.60814345621,286777.19884943013,221000.71847387918,121871.31651815388,320130.1204296045,758995.7812922231,332908.0061241855,1185083.5564602609,1631836.065564778,907411.2665474509,2356260.8645821055
2019-05-26,439138.7148631837,332654.9974574481,545622.4322689192,194672.98594113937,97573.60179471945,291772.3700875593,228849.46402887645,127464.61997607254,330234.3080816803,732664.0468147002,298023.3353545829,1167304.7582748176,1595325.2116478998,855716.554582823,2334933.8687129766
