date,host,searches
2016-01-01,iOS,23833
2016-01-01,mobile_web,8708
2016-01-02,Android,1
2016-01-02,iOS,25793
2016-01-02,mobile_web,9012
2016-01-03,Android,5
2016-01-03,iOS,30181
2016-01-03,mobile_web,10810
2016-01-04,Android,23
2016-01-04,iOS,30813
2016-01-04,mobile_web,11571
2016-01-05,Android,2
2016-01-05,iOS,32686
2016-01-05,mobile_web,11506
2016-01-06,Android,15
2016-01-06,iOS,30060
2016-01-06,mobile_web,7600
2016-01-07,Android,9
2016-01-07,iOS,30269
2016-01-07,mobile_web,8192
2016-01-08,Android,2
2016-01-08,iOS,28034
2016-01-08,mobile_web,10447
2016-01-09,Android,1
2016-01-09,iOS,26034
2016-01-09,mobile_web,8160
2016-01-10,Android,1
2016-01-10,iOS,26732
2016-01-10,mobile_web,9208
2016-01-11,Android,10
2016-01-11,iOS,29001
2016-01-11,mobile_web,9638
2016-01-12,Android,3
2016-01-12,iOS,28923
2016-01-12,mobile_web,9850
2016-01-13,Android,9
2016-01-13,iOS,29108
2016-01-13,mobile_web,7579
2016-01-14,Android,6
2016-01-14,iOS,25887
2016-01-14,mobile_web,8263
2016-01-15,Android,2
2016-01-15,iOS,25429
2016-01-15,mobile_web,7049
2016-01-16,iOS,19569
2016-01-16,mobile_web,7591
2016-01-17,Android,0
2016-01-17,iOS,23925
2016-01-17,mobile_web,8971
2016-01-18,Android,5
2016-01-18,iOS,24237
2016-01-18,mobile_web,7757
2016-01-18,web,0
2016-01-19,Android,7
2016-01-19,iOS,23288
2016-01-19,mobile_web,8852
2016-01-20,Android,10
2016-01-20,iOS,21981
2016-01-20,mobile_web,8577
2016-01-21,Android,7
2016-01-21,iOS,24948
2016-01-21,mobile_web,8285
2016-01-22,Android,3
2016-01-22,iOS,24726
2016-01-22,mobile_web,6224
2016-01-23,iOS,19533
2016-01-23,mobile_web,7494
2016-01-24,iOS,24128
2016-01-24,mobile_web,8674
2016-01-25,Android,10
2016-01-25,iOS,22200
2016-01-25,mobile_web,8002
2016-01-26,Android,4
2016-01-26,iOS,24062
2016-01-26,mobile_web,7041
2016-01-27,Android,5
2016-01-27,iOS,22074
2016-01-27,mobile_web,6720
2016-01-28,Android,4
2016-01-28,iOS,21349
2016-01-28,mobile_web,6743
2016-01-29,Android,10
2016-01-29,iOS,22255
2016-01-29,mobile_web,6548
2016-01-30,Android,10
2016-01-30,iOS,24413
2016-01-30,mobile_web,7498
2016-01-31,Android,11
2016-01-31,iOS,20425
2016-01-31,mobile_web,8654
2016-02-01,Android,20
2016-02-01,iOS,27024
2016-02-01,mobile_web,7888
2016-02-02,Android,21
2016-02-02,iOS,23327
2016-02-02,mobile_web,8356
2016-02-03,Android,24
2016-02-03,iOS,22379
2016-02-03,mobile_web,8670
2016-02-04,Android,16
2016-02-04,iOS,25576
2016-02-04,mobile_web,8047
2016-02-05,Android,42
2016-02-05,iOS,20778
2016-02-05,mobile_web,7556
2016-02-06,Android,32
2016-02-06,iOS,19500
