,ds,yhat,yhat_lower,yhat_upper
0,2016-01-01,5950.1080101090765,-22829.423983328245,34698.64973495045
1,2016-01-02,1887.9167413527648,-25754.194173209307,29157.468670733768
2,2016-01-03,3958.0114205722475,-24839.99455422023,32524.137354658014
3,2016-01-04,10276.618646757157,-20632.44724113168,38564.19941720083
4,2016-01-05,10776.747582010223,-16838.382782121287,39041.535649737365
5,2016-01-06,10832.667389799732,-17438.32771347898,38453.74297762227
6,2016-01-07,10137.516791007216,-17035.104944395945,38697.280644621016
7,2016-01-08,7949.786797674539,-21523.906501563448,36147.35637562857
8,2016-01-09,3670.5888897565947,-23115.135285121192,31427.64084021158
9,2016-01-10,5501.211936010785,-22997.655767450724,35139.67932983027
10,2016-01-11,11564.078615820586,-17073.172338697146,38634.74050677441
11,2016-01-12,11798.741834076067,-16853.460091715588,38126.464553417725
12,2016-01-13,11586.188343420568,-16491.188994420332,40715.01511193399
13,2016-01-14,10626.270393075245,-18989.831370212563,40679.05691388445
14,2016-01-15,8184.011408307913,-18016.619428377544,35403.01958159706
15,2016-01-16,3666.70287857983,-27349.476104349636,33588.07914658732
16,2016-01-17,5281.300496676679,-22602.85826713547,34779.036942084196
17,2016-01-18,11155.234739785588,-18650.299966942577,43255.23356805204
18,2016-01-19,11232.280386031056,-17723.66421358947,38710.968062845175
19,2016-01-20,10896.755635238744,-20290.036778609145,39084.69238327137
20,2016-01-21,9850.874463381624,-17912.057503056985,39279.63192189302
21,2016-01-22,7361.000301543062,-22397.451013568912,35455.4726613037
22,2016-01-23,2834.719522984904,-25870.915360386236,31650.53218481711
23,2016-01-24,4478.243269287505,-21411.10938285655,32974.28171028578
24,2016-01-25,10417.25246699775,-19320.5140864873,38481.22172950565
25,2016-01-26,10592.829372664692,-17786.13647595615,41494.248858935454
26,2016-01-27,10385.744378712834,-19974.128075059034,36619.37428872141
27,2016-01-28,9493.919052035579,-19931.287036202662,36985.101146564
28,2016-01-29,7178.810194958073,-20786.236783191278,34963.033472545605
29,2016-01-30,2842.6295659329753,-25608.626785981298,32900.274080860974
30,2016-01-31,4685.903512064238,-25417.936975069588,31290.392646260258
31,2016-02-01,10828.482778990716,-17998.252544152838,39274.110582325186
32,2016-02-02,11205.641076068627,-17102.910537528645,39521.36550898332
33,2016-02-03,11192.526335084405,-17882.35852218572,40181.23200824083
34,2016-02-04,10481.780942902249,-19126.202170996952,39527.431948419304
35,2016-02-05,8330.071286275339,-21079.70204871535,35800.36983694458
36,2016-02-06,4135.437161355474,-22808.827196913626,32257.46364942586
37,2016-02-07,6094.961699880685,-21774.416310694876,36340.02001560479
38,2016-02-08,12325.869062831822,-13122.582820636933,43167.06200001012
39,2016-02-09,12761.686137188659,-15192.26973572241,40836.05014752644
40,2016-02-10,12776.730568373274,-15564.279977923876,41996.9727009519
41,2016-02-11,12063.740572601817,-17875.989927561313,41535.50200237259
42,2016-02-12,9880.386856079696,-17179.56786966418,38565.83832983158
43,2016-02-13,5626.577943816199,-23316.222085119134,34039.92522826301
44,2016-02-14,7502.061115185317,-21802.953817364913,39330.03243890413
45,2016-02-15,13627.428451961,-14146.996277656319,41602.09599354947
46,2016-02-16,13940.167140981895,-14800.579324992827,43630.846886735184
47,2016-02-17,13819.019829459976,-15385.776861430943,41595.82679550449
48,2016-02-18,12961.47440895098,-16960.352854174307,42836.591058535356
49,2016-02-19,10630.127798264164,-19337.93704718249,37411.01463887567
50,2016-02-20,6229.839515796272,-24332.840195351124,36071.78128865388
51,2016-02-21,7965.18177692404,-23109.610852770445,34301.57522521859
52,2016-02-22,13961.30011274427,-13862.693603579071,42647.585677828116
53,2016-02-23,14159.82794961106,-13455.021480429037,42411.64297707239
54,2016-02-24,13943.124927288789,-13581.365379666484,43423.80036609624
55,2016-02-25,13011.66187708769,-13688.528845580651,40988.02952692825
56,2016-02-26,10630.300037537188,-16329.413732759525,40768.22749179919
57,2016-02-27,6205.382681074619,-20342.17151200167,33319.53509648507
58,2016-02-28,7942.147577528784,-19447.06936058676,36332.97626897294
59,2016-02-29,13965.575240867367,-13724.276673908988,42499.70226873893
60,2016-03-01,14216.316584398612,-13978.62296486399,42730.67678693676
61,2016-03-02,14074.969180951475,-14560.152516294667,41104.60614442666
62,2016-03-03,13239.523722443426,-13467.299510305184,42835.65702362744
63,2016-03-04,10971.726226599032,-18195.933115297645,37669.16261139709
64,2016-03-05,6674.271495769535,-21849.564508489086,35097.621440597155
65,2016-03-06,8548.333029157422,-19957.842868698026,36180.87314101892
66,2016-03-07,14714.54065403624,-13443.319494316142,43815.340050453335
67,2016-03-08,15109.045476296069,-14125.651765489398,42788.04346836326
68,2016-03-09,15107.937100767158,-13704.408586020656,44384.449993020775
69,2016-03-10,14404.830377510689,-15029.894438213063,43155.717805097716
70,2016-03-11,12257.362922847662,-16715.068562318862,40540.3789757896
71,2016-03-12,8064.514790171286,-20245.949182356002,38561.66148231869
72,2016-03-13,10024.251655542665,-16269.030526919732,37890.99454054243
