,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
0,2016-01-18,28693.549119922245,21575.13085505497,36080.890362958955,-20885.92926039454,-37399.81082049947,-4700.391555930482,2228.8545538413728,-323.8134001889411,4883.960604280273,11017.345944208584,7389.494816684781,14408.278679744466,21053.820357577664,-8758.998548948663,50672.738091053216
1,2018-02-07,57477.955817315284,50901.53231710904,63939.13528632499,90046.16658922583,73254.34803718589,106472.6166844039,23545.901645009664,20849.01027997421,26283.582715268436,22243.70234958769,18819.054804062675,25768.342150331464,193313.72640113847,163823.9454383318,222463.6768363288
2,2018-02-08,56701.95146220438,49821.74832398903,62960.551169009006,87136.90467932969,69582.44082002786,103940.5820299207,23225.46013029273,20699.41939719243,25881.00541255691,21814.6684534434,18438.916351083517,25370.230460623996,188878.98472527016,158542.52489229283,218152.36907211062
3,2018-02-09,54178.40391216024,47349.4761898701,61527.07692156131,76521.23375953302,59180.25055516158,93850.47082407336,22415.658915413933,19829.800152893025,25122.440435695346,20918.653238232804,17742.861628609848,24504.859582016565,174033.94982533998,144102.38852653457,205004.8477633466
4,2018-02-10,50692.90931366233,44027.17078102888,57774.605372146536,46564.77906983848,28765.215676012962,63268.24229873788,21270.0847234747,18811.42544786769,23959.09835361883,20345.072921488856,16668.205142151928,23660.4688413675,138872.84602846438,108272.01704706145,168662.41486587076
5,2018-02-11,53384.36338524954,46698.7420323441,60391.20587088079,51192.990683786564,34339.69841450463,68543.96417983307,21855.236925317684,19368.028770575507,24458.282326899916,21729.86847381493,18244.189101135733,25181.61571897623,148162.45946816873,118650.65831855996,178575.06809659
6,2018-02-12,58151.03670499826,51059.22353428515,65028.88020773167,91470.48586330823,74544.32986716501,107847.07379363687,23651.76123942942,21019.170844264685,26531.058098282112,23379.942478422134,19782.441732721065,26822.397085485012,196653.22628615802,166405.1659784359,226229.40918513568
7,2018-02-13,58031.9172610906,51358.02470665277,65001.03508243421,90914.5641119593,72987.35602093647,108251.00697466724,24028.132680584622,21298.300826614883,26476.557032163797,23746.950525094235,20329.48414593786,27102.10837048851,196721.56457872875,165973.165700142,226830.70745975376
8,2018-02-14,57853.00567469514,50883.65151661599,64495.37027958364,89694.86267560405,72862.9730193041,106853.66352520642,24104.783737833677,21361.73949936462,26736.726148434525,23290.355161101714,19951.268498934394,26614.84763497019,194943.00724923456,165059.63253421913,224700.60758819478
9,2018-02-15,56914.63044091074,49871.833447638644,64007.93517718291,85225.202094803,68833.95770478854,102581.00049785277,23745.465175966092,21155.264688829706,26369.901134512726,22879.35630162755,19476.397440754332,26199.522773577704,188764.6540133074,159337.45328201124,219158.35958312615
10,2018-02-16,54221.121718500384,47940.77768608599,61364.53601919799,73280.38307693452,55603.875389836925,89653.46472996024,22892.93162287491,20434.364264547603,25566.030392514822,21984.785095868345,18770.08542974582,25210.218439789696,172379.22151417815,142749.10277021636,201794.24958146276
11,2018-02-17,50570.673777380194,44209.99731551986,57220.64836333652,42245.937268546746,26286.012325730066,58454.48616827679,21702.563655518265,19176.327219611183,24355.80670441075,21397.234335472767,17873.775929011532,24906.385435377415,135916.409036918,107546.11278987264,164937.32667140148
12,2018-02-18,53103.24875816956,46553.59925054234,60347.952544829364,46060.770965973796,28552.699578942967,62290.98339480261,22247.83299346227,19647.378460051412,24896.092562247963,22754.20186462112,19194.622178070003,26100.103937382937,144166.05458222673,113948.29946760672,173635.13243926287
13,2018-02-19,57723.777141796665,50658.322408247644,64649.94338661429,85796.38809082739,68886.09859903807,103070.8308809158,24005.95936333588,21172.02425753193,26637.014434039593,24364.462507869415,20858.213774971937,27650.889972175766,191890.58710382934,161574.65903978958,222008.67867374545
14,2018-02-20,57477.49414899908,50764.95155176118,64660.87678233836,84970.44645955041,67897.50512059854,103137.74279423787,24347.053252353657,21757.954542417858,26963.776702705785,24681.795343397665,21458.37151003378,28190.92334580876,191476.7892043008,161878.78272481138,222953.31962509075
15,2018-02-21,57196.02754382041,49236.746277663675,64158.44002613691,83746.61076898333,67942.39437880776,101181.47828013626,24393.01928787455,21802.492574134714,27060.16795861526,24167.965264197162,21046.35282504492,27462.185158069347,189503.62286487548,160027.98605565107,219862.27142295777
16,2018-02-22,56184.52599309741,49471.54034328438,62714.67160379313,79526.74371499248,62733.25459057707,96721.42044523191,24008.870738431044,21480.73928829781,26871.109133794966,23694.577258451834,20285.335641930895,27083.79231392811,183414.71770497278,153970.86986409014,213390.99349674812
